Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Failure Type,Machine failure
L,297.0242765930187,306.4081284641261,1656.7363898072733,27.772567739511963,154.56362648234074,None,0
H,297.74962779653765,307.3569531430116,1501.5077260915202,33.84089016618937,184.93302055537333,None,0
M,300.77763782052745,309.745811269799,1630.9626408729646,21.311020291113763,3.2656082760358087,None,0
L,297.65225334738795,306.763001184917,1297.1365906538424,39.26167051001884,84.91828245306552,None,0
L,302.2252686104066,312.659645532435,1528.6772526459642,45.87118687927999,192.60518425707585,None,0
L,299.85775941833936,309.9893747916121,1360.1473585232168,26.525750325413064,101.00198759200524,None,0
L,300.1711894078891,310.66277591547953,1255.925269384756,40.170202706229475,90.71168163898885,None,0
M,299.4432540647842,309.657268454485,1327.778424385797,31.953479718235812,237.88805894582518,PWF,1
M,301.54569567708745,312.25003427823503,1391.1045816448282,46.68800835364239,138.13712296528823,None,0
M,301.566319775554,312.444533773709,1748.9389054047704,16.855929087010967,48.12302125909662,None,0
L,300.6701087038243,308.9283920839582,1385.811920101468,47.11888848048998,118.05667221764263,None,0
H,301.12957821181527,310.27526856140094,1245.6919499443554,21.8224340254698,129.66781926373076,HDF,1
M,299.57582066015914,309.3444447026691,1526.2954844993337,37.90059653776606,247.182908514408,HDF,1
L,301.0844060138181,311.0617284883308,1505.8361321355349,32.91081883517301,179.55488474580307,None,0
L,299.3242444490524,308.6541538752344,1401.5893975979604,36.39297073191138,129.85053264440725,None,0
L,300.0044632443248,310.91648691531316,1467.7553068307748,24.70609243222566,107.99769025180375,None,0
L,299.4507125012674,311.430660869558,1695.2454171993143,56.60137640513782,228.87373884948602,TWF,1
L,299.0855629213616,309.2717248769433,1634.1411530798352,27.134369223896627,161.48526906921714,None,0
L,298.62177640455644,308.70611743675465,1616.8460413747462,27.923463940242744,89.02169713547225,None,0
L,300.9353802077178,311.7848364628221,1263.264243095954,57.948205850855175,116.15759045303528,None,0
M,302.6212118256269,310.7553720704235,2077.3096123430646,43.22701636075664,69.53119584027672,None,0
L,302.34220394333914,312.37067288377756,1710.2504420548444,27.457434765394016,240.10717036570063,TWF,1
L,297.48686932810915,308.46590515357667,1603.4057126381745,38.712123240961546,175.48627125467692,None,0
L,302.57840610281374,311.9352521056126,1267.137645120558,37.64270530714201,98.07456556498725,None,0
L,299.36368299676417,308.1371224168622,1689.5460225468214,23.123491624253692,45.803300616442804,None,0
M,301.20146603029116,311.01566042019135,1399.7742979401344,32.41737405981771,44.25477122456189,None,0
L,298.18756933590555,308.12688390270364,1461.145839072807,39.73619288124699,119.43555475535811,TWF,1
L,300.283959827748,309.3753075458325,1163.8441447881435,52.664179058375524,116.8917624942386,None,0
L,300.6274463657938,312.72360764184475,1251.703382811898,38.1117015677397,104.447159691862,None,0
L,297.0307904161607,306.5520940351528,1587.709299765427,38.863547923859926,212.95150716394807,TWF,1
M,301.21653433268835,310.06287498126176,1701.246935054098,31.848333290398006,244.79577922009432,TWF,1
L,302.6918700156766,312.598248696606,1636.980883959007,50.958907812082344,88.70579324328315,None,0
L,299.6507041086367,310.55856474634123,1630.1637993485897,49.02321751500951,73.652658537885,None,0
H,302.72033626165603,312.7377505106543,1487.0467086080587,47.893347729815176,192.52769552546906,None,0
H,299.6206130130952,310.10620693313916,1418.6585969267576,41.11838865069581,112.44823614764427,None,0
M,301.69916906209323,310.8276584677601,1557.7790287130788,24.014264380963233,54.39214821030941,None,0
L,295.5628600680978,307.0505485145013,1664.2816646200547,50.86669898843035,45.23481559708478,None,0
L,304.83755555862695,315.39926658654537,1500.9724509867183,40.573297479377814,70.1419395977935,None,0
M,302.9909164904859,314.0386180593635,1742.050403982681,36.91408478513656,0.33090716798622744,None,0
L,299.43074899149264,309.7959096239678,1456.9861472367984,44.48459061892632,235.35748464536482,HDF,1
L,296.05582194671234,306.88070598444114,1303.9442129407898,42.24189703828016,107.56221913858904,None,0
L,300.57605673661095,309.70300417693375,1497.9275515917998,29.308020064381004,20.71179300435591,None,0
L,297.1121489058525,306.62073848916293,1521.1944556519136,36.792021385139556,41.239282086064506,None,0
H,300.889707075115,312.23618767067103,1483.593986544718,20.959072075843373,80.83445235207495,None,0
L,300.8231314383286,312.3828733856125,1756.1311121764522,40.86026634598958,137.9234857826798,None,0
M,298.11719366199594,306.97012806227684,1661.0603961448078,53.3012776730114,175.92901983876203,None,0
L,302.24193404722877,312.4916701150926,1213.811802275658,22.04384862531525,76.96279721871029,None,0
L,301.61114940561237,311.1802056051271,1806.8734028396573,41.28628069811476,239.40412055493059,PWF,1
L,301.95164667457715,311.2546152052123,951.7165878341655,46.68478533794523,190.0779757080852,None,0
L,300.0177154073378,310.30255510269325,1930.2048745704994,48.163569837244665,206.44969247253368,TWF,1
H,297.16895186617256,308.309914798538,1442.5388972886246,32.53810239179121,80.9114222087541,None,0
M,301.95574454442226,312.4074070177065,1462.0864526697,28.977692703349962,95.24030147193854,None,0
H,299.4592572017284,309.13974475180936,1487.996752205272,34.12948034877466,134.51544608731353,None,0
